LAKHMI CHAND PATWARI COLLEGE OF EDUCATION, ,Uttar Pradesh,9412631054,-,-
LAKHMI CHAND PATWARI COLLEGE OF EDUCATION, ,Uttar Pradesh,-,-,-
Lakireddy Bali Reddy College of Engineering, ,Andhra Pradesh,"08659-222933,222934,223936",lbcemym@lbrce.ac.in,http://www.lbrce.ac.in/
Lakshay College of Hotel Management, ,Haryana,"98964-13400,90348-08088",admission@lakshay.edu.in,http://lchm.lakshay.edu.in/
LAKSHAY INSTITUTE OF EDUCATION, ,Himachal Pradesh,-,-,-
LAKSHAY INSTITUTE OF MGT. STUDIES,PANIPAT ,Haryana,0180-4001948/9896766601/9416008866,info@lakshaycollege.com,http://www.lakshaycollege.com/
LAKSHAY TEACHER TRAINING COLLEGE, ,Haryana,-,-,-
LAKSHMI AMMAL COLLEGE OF EDUCADTION, ,Tamil Nadu,-,-,-
Lakshmi Ammal Polytechnic College,TRICHY ,Tamil Nadu,-,lap352@sancharnet.in,-
"Lakshmi Ammal School Of Nursing, Chengalpattu", ,Tamil Nadu,-,-,-
Lakshmi Bai Batra College Of Nursing,DELHI ,Delhi,-,-,-
Lakshmi Bai College,DELHI ,Delhi,"27418598,27308598",principal@lb.du.ac.in,-
Lakshmi Bai National College of Physical Education, ,Kerala,-,-,-
LAKSHMI COLLEGE OF EDUCATION, ,Tamil Nadu,-,ggmtrust@sify.com,-
"Lakshmi Devi School Of Nursing , Bangalore Rural",BANGALORE ,Karnataka,-,-,-
"Lakshmi M P H W F Trg Institute,Hyderabad",HYDERABAD ,Andhra Pradesh,-,-,-
Lakshmi Narain College Of Technology, ,Madhya Pradesh,"07321-2722099,224332,0751-2660930",cecbsp@rediffmail.com,http://lnctgroup.in
Lakshmi Narain College of Technology & Science, ,Madhya Pradesh,07553985300	,lnctbhopal@lnctgroup.in,-
LAKSHMI NARAYAN MAHAVIDYALAYA, ,Uttar Pradesh,-,-,-
Lakshmi Narayanan Visalakshi College Of Arts And Science,COIMBATORE ,Tamil Nadu,-,-,-
"Lakshmi School Of Nursing , Hyderabad",HYDERABAD ,Andhra Pradesh,2331-9999,-,-
"Lakshmi School Of Nursing,Ernakulam",ERNAKULAM ,Kerala,-,-,-
Lakshmi Subramaniyan Poltechnic College, ,Tamil Nadu,04543293034,lspc886@gmail.com,-
LAKSHMI TEACHER TRAINING INSTUTUTE, ,Tamil Nadu,-,-,-
"Lakshmi Venkatesh T G College Of Nursing,kurnool",KURNOOL ,Andhra Pradesh,-,-,-
LAKSHMIAMMAL COLLEGE OF EDUCATION, ,Tamil Nadu,-,-,-
Lakshmiammal Polytechnic College, ,Tamil Nadu,"04632228724,04632222506,	9443261506",lap352@sancharnet.in,lakshmiammalpolytechnic.com
LAKSHMIAMMAL TEACHER TRAINING INSTITUTE, ,Tamil Nadu,-,-,-
Lakshmibai National Institute Of Physical Education, ,Madhya Pradesh,910751340553,info@lnipe.net,www.lnipe.net
LAKSHMIBAI NATIONAL INSTITUTE OF PHYSICAL EDUCATION, ,Madhya Pradesh,-,-,-
LAKSHYA DEEP SHIKSHAK PRASHIKSHAN SANSTHAN, ,Rajasthan,-,-,-
Lakshya Institute Of Nursing,GWALIOR ,Madhya Pradesh,-,-,-
LAKSSHMI AMMAL COLLEGE OF EDUCATION FOR WOMEN, ,Tamil Nadu,-,-,-
Lal Baba College, ,West Bengal,-,-,-
LAL BAHADHUR D.ED COLLEGE, ,Karnataka,-,-,-
LAL BAHADHUR SHASTRI STC SCHOOL, ,Rajasthan,-,-,-
Lal Bahadur Arts Science And S.B. Selabanna Setty Comm. Co, ,Karnataka,-,-,-
Lal Bahadur College, ,Andhra Pradesh,"0870-2420818,2429192",ibccsdpt@hd2.net.in,http://lbcollege.org/
"Lal Bahadur College, Hyderabad", ,Andhra Pradesh,23532479,adminpg@lbcollege.org,http://lbcollege.org
Lal Bahadur Memorial Mahila College, ,Punjab,-,-,-
LAL BAHADUR SHASHTRI POST GRADUTE COLLEGE, ,Uttar Pradesh,-,-,-
LAL BAHADUR SHASHTRI TEACHER TRAINING COLLEGE, ,Rajasthan,-,-,-
LAL BAHADUR SHASTRI, ,Uttar Pradesh,-,-,-
LAL BAHADUR SHASTRI, ,Uttar Pradesh,-,-,-
Lal Bahadur Shastri College, ,Rajasthan,-,-,-
Lal Bahadur Shastri College Of Arts Science & Commerce, ,Maharashtra,-,-,-
"Lal Bahadur Shastri College Post Graduate , jaipur",JAIPUR ,Rajasthan,"91-141-2622793,2624410",-,www.lbscollege.com
Lal Bahadur Shastri Degree College, ,Uttar Pradesh,-,-,-
Lal Bahadur Shastri Degree College, ,Uttar Pradesh,-,-,-
Lal Bahadur Shastri Government College, ,Rajasthan,-,-,-
Lal Bahadur Shastri Government Degree College, ,Himachal Pradesh,-,-,-
lal bahadur shastri government first grade college, ,Karnataka,-,-,-
Lal Bahadur Shastri Homoeopathic Medical College, ,Madhya Pradesh,9300844675,-,-
LAL BAHADUR SHASTRI INST. OF MANAGEMENT,DELHI ,Delhi,"91-11-26191081,26186153,26172407",info@lbsim.ac.in,www.lbsim.ac.in
LAL BAHADUR SHASTRI INSTITUTE OF MANAGEMENT DELVELOPENT STUDIES, ,Uttar Pradesh,"0522-2361938,2750712",info@lbsimds.ac.in,-
Lal Bahadur Shastri Institute of Management Studies and Research,BILASPUR ,Chhattisgarh,07752-260025,dms_ggu@rediffmail.com,www.ggu.ac.in
Lal Bahadur Shastri Mahavidyalaya, ,Maharashtra,-,-,-
Lal Bahadur Shastri Mahavidyalaya(ARTSSC&COM), ,Maharashtra,-,-,-
Lal Bahadur Shastri National Academy of Administration, ,Uttaranchal,"0135-2222000,2632236,2632489",-,www.lbsnaa.gov.in
"Lal Bahadur Shastri School Of Nursing , Yamuna Nagar",YAMUNANAGAR ,Haryana,-,-,-
Lal Bahadur Shastri Smarak Degree College, ,Uttar Pradesh,-,-,-
LAL BAHADUR SHASTRI TECHNICAL INSTITUTE, ,Uttaranchal,-,-,-
LAL BAHADUR SHASTRI VYAVSAYIK ADHYAPAN MAHAVIDYALAYA, ,Madhya Pradesh,-,-,-
Lal Bahadur Shastri Vyavsayik Adhyayan Mahavidyalaya, ,Madhya Pradesh,-,-,-
"Lal Bahadur Shastri, Sch. Of Nsg,Yamunanagar",YAMUNANAGAR ,Haryana,-,-,-
LAL BAHADUR SINGH SMARAK MAHAVIDYALAYA, ,Uttar Pradesh,-,-,-
LAL BHADUR SHASHTRI SMARK P.G. COLLEGE, ,Uttar Pradesh,-,-,-
LAL BHADUR SHASTRI MAHILA SHIKSHAK PRASSHIKSHAN MAHAVIDYALAYA, ,Rajasthan,-,-,-
LAL BHADUR SHASTRI TEACHER TRAINING COLLEGE, ,Haryana,-,-,-
LAL BHAHADUR SHASTRI TECHNICAL EDUCATION INSTITUTE, ,Uttaranchal,-,-,-
Lal Bhai Dalpathbhai Arts College, ,Gujarat,-,-,-
LAL CHAND MAL TEACHER TRAINING COLLEGE, ,Haryana,-,-,-
Lal Gee Polytechnic, ,Himachal Pradesh,01905-247177,lalsgee_edu@yahoo.com,http://www.lalgeecollege.com/
"Lal Memorial Hospital,Thrissur",TRICHUR ,Kerala,-,-,-
Lal Singh Tyagi Gramin College, ,Bihar,-,-,-
Lal Singh Tyagi Gramin Mahavidyalaya, ,Bihar,-,-,-
Lala Ami Chand Monga Memorial College of Law,AMBALA ,Haryana,01731-289827,-,-
LALA AMI CHAND MONGA MEMORIAL TEACHER TRAINING COLLEGE, ,Haryana,-,-,-
LALA HANS RAJ MEMORIAL TEACHER TRAINING COLLEGE, ,Punjab,-,-,-
Lala Hans Raj Phutela College of Law,SIRSA ,Haryana,01666-241712,lhplawsirsa@gmail.com,www.lhplawcollege.com
LALA JAGAT NARAYAN EDUCATION COLLEGE, ,Punjab,-,-,-
LALA JAGAT NARAYAN EDUCATION COLLEGE, ,Punjab,-,-,-
Lala Lajpat Rai College of Law, ,Maharashtra,-,info@llim.edu,-
"Lala Lajpat Rai College of Pharmacy , Moga",MOGA ,Punjab,"01636-501067,01636-501069,09872734441",-,www.llrcp.ac.in
Lala Lajpat Rai Government College, ,Punjab,-,-,-
Lala Lajpat Rai Institute of Engineering & Technology, ,Punjab,"01636-265068,265315,265216",llrmimt@sify.com,http://www.llriet.ac.in/
"Lala Lajpat Rai Institute Of Nsg Education ,School Of Nursing , Jalandhar",JALANDHAR ,Punjab,-,-,-
"Lala Lajpat Rai Institute Of Nursing , Moga",MOGA ,Punjab,-,info@llrnursing.org,-
"Lala Lajpat Rai Institute Of Nursing Education , Jalandhar",JALANDHAR ,Punjab,-,-,-
LALA LAJPAT RAI MEMORIAL TEACHER TRAINING COLLEGE, ,Punjab,-,-,-
"Lala Lajpat Rai School Of Nursing , Moga",MOGA ,Punjab,-,-,-
Lala Lajpat Rai University of Veterinary, ,Haryana,+911662289332,vc@llruvas.edu.in,http://www.llruvas.edu.in/
Lala Lajpatrai College of Commerce & Economics, ,Maharashtra,-,-,-
LALA LAJPATRAI INSTITUTE OF MANAGEMENT, ,Maharashtra,022-24980874,llim@vsnl.com,www.llim.edu
LALA LAXMI NARAIN DEGREE COLLEGE, ,Uttar Pradesh,-,-,-
Lala Mahadev Prasad Verma Balika Mahavidyalaya, ,Uttar Pradesh,-,-,-
LALA MALTADEO PRASAD VERMA BALIKA DEGREE COLLEGE, ,Uttar Pradesh,-,-,-
Lala Mangat Ram Mahavidyalaya, ,Delhi,-,-,-
LALA MANGAT RAM MAHAVIDYALAYA, ,Uttar Pradesh,-,-,-
"Lala Munshi Ram Institue Of Health Sciences , Gurdaspur",GURDASPUR ,Punjab,-,-,-
Lala Rural College, ,Assam,-,-,-
LALAMAUGAT RAM MAHAVIDYALAYA, ,Uttar Pradesh,-,-,-
Lalbhai Dalpatbhai College of Engineering,MEHSANA ,Gujarat,"079-6306752,26304118",ldce_ciiilp@yahoo.com,www.ldceindia.org
LALGEE TEACHER TRAINING COLLEGE, ,Himachal Pradesh,-,-,-
Lalgudi Co Operative Polytechnic College, ,Tamil Nadu,"0431-2912372,0431-2912373,9524526145",lcpcplacement@yahoo.co.in,-
Lalgudi Co Operative Polytechnic College,MADURAI ,Tamil Nadu,"0431-2912372,0431-2912373,9524526145",lcpcplacement@yahoo.co.in,-
Lalit Chandra Bharali College Guwahati,GUWAHATI ,Assam,"0361-2570465,2675259","principal@lcbcollege.org.in,lcbghy@yahoo.co.in",http://www.lcbcollege.org.in/
Lalit Narayan Mishra College Business Mana, ,Bihar,-,-,-
Lalit Narayan Mishra Institute of Economic Development And Social Change, ,Bihar,"0612?2505200,2504500",lnmipat@gmail.com,http://www.lnmipat.ac.in/
Lalit Narayan Mithila University,DARBHANGA ,Bihar,"06272-222463,06272-222186",vc_lnmu@indiatimes.com,http://lnmu.bih.nic.in
LALITA DEVI INSTITUTE OF MANAGEMENT & SCIENCE, ,Himachal Pradesh,-,-,-
Lalita Naryan Mishra Institute Economic Development Social Change, ,Bihar,-,-,-
Laliteshwar Prasad Shahi College, ,Bihar,-,-,-
"Lalitha College Of Nursing,Eastgodavari",KAKINADA ,Andhra Pradesh,-,-,-
"Lalitha College Of Nursing,Guntur",GUNTUR ,Andhra Pradesh,-,-,-
"Lalitha College of Pharmacy , Ghatkesar",GHATKESAR ,Andhra Pradesh,"+91-8415255311,+91-9866308606/9849014284,+9",-,www.lalithapharmacy.ac.in
Lalitha Degree & Pg College,NAMPALLY ,Andhra Pradesh,23202311,lalitha@rediffmail.com,www.lalithacollege.com
"LALITHA DEGREE & PG COLLEGE, GHATKESAR",GHATKESAR ,Andhra Pradesh,-,-,-
"Lalithaa School Of Nursing , Coimbatore",COIMBATORE ,Tamil Nadu,-,-,-
Lalji Rai Degree College, ,Uttar Pradesh,-,-,-
Lalta Singh Government Girls P.G. College, ,Uttar Pradesh,-,-,-
Laluk College, ,Assam,-,-,-
Lamka College, ,Manipur,-,-,-
Lamp Degree College,EAST GODAVARI ,Andhra Pradesh,"08856–270464,248494",-,-
Langta Baba College, ,Jharkhand,-,-,-
Lanka Mahavidyalaya, ,Assam,-,-,-
Laqsha College Of Computer Studies,KHAMMAM ,Andhra Pradesh,-,-,-
Laqshya Institute of Technology & Sciences, ,Andhra Pradesh,9866129793;9849529793,laqshya2008@gmail.com,http://www.laqshya.edu.in
Larambha College, ,Orissa,-,-,-
Larn Edutech, ,West Bengal,03323990126,seo@letindia.org,www.edutech.com
LATA MANGAT RAM MAHAVIDYALAYA, ,Uttar Pradesh,-,-,-
LATE A.M.PATIL PUBLIC EDUCATION SOCIETYS MANKARANABAI VINAYAKRAO MARATHI COLLEGE OF EDUCATION, ,Maharashtra,-,-,-
Late Ahilyabai Kakade Bahuuddeshiya Shikshan Prasarak Mandal, ,Maharashtra,07202-238633,info@ahilyabspm.com,www.ahilyabspm.com
Late Amrutrao Patil Pratishthan Khed,YAVATMAL ,Maharashtra,"07234-266568,09823770460",-,-
LATE ANIL RAMDAS KAMBE B.ED. COLLEGE, ,Maharashtra,-,-,-
Late Appasaheb R.B. Garud Arts And Commerce College, ,Maharashtra,-,-,-
Late Babasaheb Deshmukh Gorthekar Mahavidyalaya, ,Maharashtra,-,-,-
Late Babu Singh Balika Mahavidyalaya, ,Uttar Pradesh,-,-,-
LATE BAHADUR SINGH MAHAVIDYALAYA, ,Uttar Pradesh,-,-,-
Late Bhagwant Patel Panmati Devi Mahavidyalaya, ,Uttar Pradesh,-,-,-
LATE BHAUSAHEB HIRAY S.S. TRUST INSTITUTE OF COMPUTER APPLICATIONS,MUMBAI ,Maharashtra,(0)(022)-26570986/26570892/26573181,mca@ibhsst.org,www.ibhsst.org.in
LATE DADARAO ADSAD SHARIRIK SHIKSHAN MAHAVIDHYALAYA, ,Maharashtra,-,-,-
"Late Dadasaheb Chavan Memorial Institute of Pharmacy , Karad",KARAD ,Maharashtra,02164252690,dcpmasur@rediffmail.com,www.dcpmasur.com
Late Dattatraya Pusadkar Arts College, ,Maharashtra,-,-,-
LATE DILEEP KUMAR SMARAK MAHAVIDYALAYA, ,Uttar Pradesh,-,contact@dksm.org,-
Late Dr. Haribhau Admane Arts & Commerce College, ,Maharashtra,-,-,-
Late Dr. Shankar Rao Satav College, ,Maharashtra,-,-,-
Late Freedom Fighter Manikraoji Muley Special Teachers Training Institute for Mental Retardation,LATUR ,Maharashtra,-,-,-
Late Freedom Fighter Ramchndraraoji Muley Teachers Training Institute (DSEHI),LATUR ,Maharashtra,"02384-245728,09822377685,9403012991",-,-
LATE GOVINDRAO PATIL COLLEGE OF EDUCATION, ,Maharashtra,-,-,-
LATE GULABBAI SMRUTI LATE GULABBAI YADAV S.S.M, ,Madhya Pradesh,-,-,-
LATE H.G. ALIAS BALASAHEB KHARADE COLLEGE OF EDUCAtion, ,Maharashtra,-,-,-
Late Karamveer Dr. P.R. Ghogrey Science College, ,Maharashtra,-,-,-
LATE KHATIJA COLLEGE OF EDUCATION, ,Maharashtra,-,-,-
LATE KUMARI LAXMI BADHALA MAHILA TEACHERS TRAINING COLLEGE, ,Rajasthan,-,-,-
LATE LALA SAHEB DESHMUKH D.ED. COLLEGE, ,Maharashtra,-,-,-
LATE MADHAVRAO TIDKE SHARIRIK SHIKSHAN MAHAVIDYALA, ,Maharashtra,-,-,-
LATE MADHURIBAI DESHMUKH SHARIRIK SHIKSHAN MAHAVIDHYALAYA, ,Maharashtra,-,-,-
"Late Maharudra Bappa Mote College of Pharmacy , Osmanabad",OSMANABAD ,Maharashtra,02478-260046,-,-
Late Minaben Kundalia Mahila Arts And Commerce College, ,Gujarat,-,-,-
Late MLC Vasantraoji Kale Law College,AURANGABAD ,Maharashtra,"0240-2356565,0240-368182,9422207475",-,-
"Late Mrs Anusaya & Savitri Thakur Memorial School Of Nursing,Pune",PUNE ,Maharashtra,-,-,-
LATE NARAYAN SINGH UIKEY SHARIRIK SHIKSHAN MAHAVIDYALAYA, ,Maharashtra,-,-,-
"Late Narayandas Bhawandas Chhabada School Of Nursing,Satara",SATARA ,Maharashtra,-,-,-
Late Narayanrao Amrutrao Deshmukh Arts and Commerc, ,Maharashtra,-,-,-
LATE NIRDHANRAO PATIL WAGHAYE ADHYAPAK MAHAVIDYALAYA, ,Maharashtra,-,-,-
Late Panchfulabai Pawade Arts & Commerce, ,Maharashtra,-,-,-
Late Panchfulabai Pawade Arts & Commerce Mahila Mahavidyalaya, ,Maharashtra,-,-,-
"Late Pandurang Patil Nursing College , Akola",AKOLA ,Maharashtra,-,-,-
LATE PT. SURYA NARAYAN RAJ MISHRA TEACHERS TRAINING COLLEGE, ,Rajasthan,-,-,-
LATE PUNDLIKRAO TIRPUDE COLLEGE OF EDUCATION, ,Maharashtra,-,-,-
"Late Raghunathrao Mundhe Institute Of Nursing,Beed",BEED ,Maharashtra,-,-,-
"Late Raghunathraoji Kendre Nursing School,Beed",BEED ,Maharashtra,-,-,-
LATE RAM PRASAD YADAV DEGREE COLLEGE, ,Uttar Pradesh,-,-,-
Late Ram Prasad Yadav Mahavidyalaya, ,Uttar Pradesh,-,-,-
LATE RAMRAOJI DUDHE COLLEGE OF EDUCATION, ,Maharashtra,-,-,-
LATE RAMSWAROOP YADAV MAHAVIDYALAYA, ,Uttar Pradesh,-,-,-
"Late Ratibhai Prabhudas Patel Nursing College,Anand",ANAND ,Gujarat,-,-,-
LATE SANJAY TOMPE & LATE SAMEER DESHMUKH B.ED.COLLEGE OF EDUCATION, ,Maharashtra,-,-,-
Late Sh.Madan Gopalji Mundhada Kala And Vanijya Mahavidyalaya, ,Maharashtra,-,-,-
LATE SHIVRAMJI HIWSE B.ED. COLLEGE, ,Maharashtra,-,-,-
Late Shri G. W. College of Law,NAGPUR ,Maharashtra,"0712-2747853,0712-2753917,0712-2742308,0712-",-,-
"Late Shri Ganpatrao Deshmukh Trg College Of Nsg , Nagpur",NAGPUR ,Maharashtra,-,-,-
LATE SHRI GOVINDRAO WANJARI COLLEGE OF EDUCATION, ,Maharashtra,-,-,-
LATE SHRI LAXMANJI MOTGHARE CHARITABLE TRUST, ,Maharashtra,-,-,-
Late Shri N R Boricha Education Trust Sanchalit, ,Gujarat,-,-,-
Late Shri Yashwantrao Chavan Memorial Medical & Rural Development Foundations Dental College & Hosp,AHMEDNAGAR ,Maharashtra,"0241-2779111,6450365",yash_dental@rediffmail.com,www.yashdental.org.in
LATE SHRIMATI B.F. KADRI COLLEGE OF WOMENS EDUCATION, ,Daman and Diu,-,-,-
Late Sou Kamal Tai Jamkar Mahila Mahavidyalaya, ,Maharashtra,-,-,-
Late Sow Sheshabai Sitaram Mundhe Arts College, ,Maharashtra,-,-,-
LATE VASANTRAO NAIK COLLEGE OF PHYSICAL EDUCATION, ,Maharashtra,"(0712)712965,711803",-,-
Late Wali Mohammad Islamiya Degree College, ,Uttar Pradesh,-,-,-
Latha Madhavan Engineering College,MADURAI ,Tamil Nadu,"0452-6454125,2093354,3208876","impcc@yahoo.com,lmecmdu@yahoo.co.in,info@lmec.ac.in",http://www.lmec.ac.in/
Latha Mathavan Polytechnic College,DHARMAPURI ,Tamil Nadu,0452-2470570,lmpcc@yahoo.com,www.lathamathavanpolytechnic.com
Latha Mathavan Polytechnic College, ,Tamil Nadu,0452-2470570,lmpcc@yahoo.com,www.lathamathavanpolytechnic.com
